fold,prune_method,min_val,max_val,prune_bias,performance_Dice,performance_FN,performance_FP,performance_IoU,performance_TN,performance_TP,performance_n_pred,performance_n_ref,weights_zeros,weights_total,weights_percentage,biases_zeros,biases_total,biases_percentage,total_zeros,total_total,total_percentage
4,RangePruning,-2e-3,2e-3,True,0.9244896033802134,476.7133333333333,396.54,0.8629788899304262,527962.6499999999,6182.9766666666665,6579.516666666666,6659.69,9218548,20610080,44.73,5699,10996,51.83,9224247,20621076,44.73
4,RangePruning,-4e-3,4e-3,True,0.9215000801860569,494.4666666666667,400.6233333333333,0.8582471903592824,527958.5666666665,6165.223333333332,6565.846666666667,6659.69,15004928,20610080,72.8,6156,10996,55.98,15011084,20621076,72.79
4,RangePruning,-1e-3,1e-3,True,0.9245616754695964,480.7933333333333,390.40000000000003,0.8631025087743572,527968.79,6178.896666666667,6569.296666666666,6659.69,4920453,20610080,23.87,5366,10996,48.8,4925819,20621076,23.89
4,RangePruning,-4e-3,4e-3,False,0.9216309622894845,495.6133333333334,398.75,0.8584535825246032,527960.4400000001,6164.076666666667,6562.826666666667,6659.69,15004928,20610080,72.8,4,10996,0.04,15004932,20621076,72.77
4,RangePruning,-1e-2,1e-2,False,0.2866973158638198,5019.849999999999,713.2766666666666,0.20411113125512562,527645.9133333332,1639.84,2353.116666666667,6659.69,20003710,20610080,97.06,4,10996,0.04,20003714,20621076,97.01
4,RangePruning,-9e-3,9e-3,True,0.3890618109929007,4057.7833333333333,977.9766666666668,0.299951662575748,527381.2133333334,2601.9066666666663,3579.883333333333,6659.69,19726760,20610080,95.71,6593,10996,59.96,19733353,20621076,95.7
4,RangePruning,-2e-3,2e-3,False,0.9244816969566493,477.5600000000001,395.90000000000003,0.8629701571814737,527963.29,6182.13,6578.03,6659.69,9218548,20610080,44.73,4,10996,0.04,9218552,20621076,44.7
4,RangePruning,-6e-3,6e-3,False,0.8835038221274704,545.7733333333333,759.25,0.8012439411548328,527599.94,6113.916666666667,6873.166666666667,6659.69,17907150,20610080,86.89,4,10996,0.04,17907154,20621076,86.84
4,RangePruning,-7e-3,7e-3,True,0.7887048365363781,1333.1,1090.3866666666665,0.6685711524115003,527268.8033333333,5326.59,6416.9766666666665,6659.69,18741640,20610080,90.93,6487,10996,58.99,18748127,20621076,90.92
4,RangePruning,-9e-3,9e-3,False,0.38960833558619895,4047.906666666667,994.8833333333333,0.30026545607582,527364.3066666666,2611.7833333333333,3606.6666666666665,6659.69,19726760,20610080,95.71,4,10996,0.04,19726764,20621076,95.66
4,RangePruning,-1e-2,1e-2,True,0.29097341401843574,4982.663333333333,734.86,0.207399841302055,527624.3300000001,1677.0266666666666,2411.8866666666668,6659.69,20003710,20610080,97.06,6647,10996,60.45,20010357,20621076,97.04
4,RangePruning,-1e-3,1e-3,False,0.924554247912178,480.95000000000005,390.1766666666667,0.8630939422806336,527969.0133333333,6178.740000000001,6568.916666666667,6659.69,4920453,20610080,23.87,4,10996,0.04,4920457,20621076,23.86
4,RangePruning,-8e-3,8e-3,True,0.5624477984972712,2874.61,1265.9466666666667,0.44156967668736247,527093.2433333333,3785.0800000000004,5051.026666666667,6659.69,19323289,20610080,93.76,6534,10996,59.42,19329823,20621076,93.74
4,RangePruning,-5e-3,5e-3,False,0.9122012028222984,523.02,460.49666666666667,0.8439696836336671,527898.6933333334,6136.670000000001,6597.166666666667,6659.69,16713399,20610080,81.09,4,10996,0.04,16713403,20621076,81.05
4,RangePruning,-3e-3,3e-3,True,0.9254184743806896,476.9866666666667,387.81333333333333,0.8646295511746637,527971.3766666666,6182.703333333334,6570.516666666666,6659.69,12571887,20610080,61.0,5963,10996,54.23,12577850,20621076,61.0
4,RangePruning,-6e-3,6e-3,True,0.8838392999816471,547.46,753.7033333333334,0.8017322938225101,527605.4866666667,6112.23,6865.933333333334,6659.69,17907150,20610080,86.89,6384,10996,58.06,17913534,20621076,86.87
4,RangePruning,-5e-3,5e-3,True,0.9120432287705796,523.1966666666667,461.6233333333333,0.8437345768170066,527897.5666666667,6136.493333333333,6598.116666666668,6659.69,16713399,20610080,81.09,6280,10996,57.11,16719679,20621076,81.08
4,RangePruning,0e+,0e+,False,0.9244644485318224,485.81999999999994,385.6133333333333,0.8629300178438378,527973.5766666667,6173.87,6559.483333333334,6659.69,0,20610080,0.0,4,10996,0.04,4,20621076,0.0
4,RangePruning,-7e-3,7e-3,False,0.7891379791482068,1321.8133333333333,1104.08,0.6689574506996943,527255.11,5337.876666666666,6441.956666666668,6659.69,18741640,20610080,90.93,4,10996,0.04,18741644,20621076,90.89
4,RangePruning,-3e-3,3e-3,False,0.9254371963086739,478.05,386.6366666666667,0.8646659807571839,527972.5533333333,6181.639999999999,6568.276666666668,6659.69,12571887,20610080,61.0,4,10996,0.04,12571891,20621076,60.97
4,RangePruning,0e+,0e+,True,0.9244695564573604,485.78,385.5833333333333,0.8629395497211326,527973.6066666666,6173.91,6559.493333333333,6659.69,0,20610080,0.0,4,10996,0.04,4,20621076,0.0
2,RangePruning,-8e-3,8e-3,False,0.4150923474222359,3839.433333333334,1719.5166666666667,0.28964485511997096,526639.6733333333,2820.2566666666667,4539.7733333333335,6659.69,19331206,20610080,93.79,4,10996,0.04,19331210,20621076,93.74
2,RangePruning,-2e-3,2e-3,True,0.9277051398069478,481.50666666666666,360.29,0.8679264807790116,527998.8999999999,6178.183333333333,6538.473333333332,6659.69,9330787,20610080,45.27,5669,10996,51.56,9336456,20621076,45.28
2,RangePruning,-4e-3,4e-3,True,0.924477209378025,509.22666666666663,371.54333333333335,0.8627221256202078,527987.6466666666,6150.463333333333,6522.006666666667,6659.69,15085509,20610080,73.19,6139,10996,55.83,15091648,20621076,73.19
2,RangePruning,-1e-3,1e-3,True,0.927160051743209,471.37999999999994,376.59666666666664,0.8670224321524831,527982.5933333333,6188.31,6564.906666666666,6659.69,4998256,20610080,24.25,5334,10996,48.51,5003590,20621076,24.26
2,RangePruning,-4e-3,4e-3,False,0.9244685020039961,510.1700000000001,370.7833333333333,0.8626993747115769,527988.4066666666,6149.5199999999995,6520.303333333333,6659.69,15085509,20610080,73.19,4,10996,0.04,15085513,20621076,73.16
2,RangePruning,-1e-2,1e-2,False,0.019938519792732527,6581.72,1053.2966666666666,0.010177082310892344,527305.8933333334,77.97,1131.2666666666667,6659.69,20005011,20610080,97.06,4,10996,0.04,20005015,20621076,97.01
2,RangePruning,-9e-3,9e-3,True,0.10908290934059073,6099.753333333334,1641.1133333333335,0.06025547662304689,526718.0766666667,559.9366666666666,2201.0499999999997,6659.69,19731041,20610080,95.73,6580,10996,59.84,19737621,20621076,95.72
